"index";"labourearnings";"age";"gender";"education";"maritalstatus";"lifesatisfaction"
8602;0;30;2;3;1;8
8603;NA;19;1;NA;NA;NA
8604;30550;40;2;2;1;8
8605;0;78;2;2;3;6
8606;24000;48;1;2;2;8
8607;2916;63;2;2;1;9
8608;34800;24;2;3;2;9
8609;NA;52;1;NA;NA;NA
8610;NA;38;1;NA;NA;NA
8611;NA;8;1;NA;NA;NA
8612;0;82;1;2;1;8
8613;0;22;2;NA;2;2
8614;0;66;2;NA;NA;NA
8615;0;68;2;2;3;3
8616;0;5;1;NA;NA;NA
8617;NA;62;2;3;3;10
8618;NA;40;2;3;2;6
8619;0;62;2;2;1;7
8620;0;3;1;NA;NA;NA
8621;0;6;1;NA;NA;NA
8622;0;14;2;NA;NA;NA
8623;0;4;1;NA;NA;NA
8624;NA;54;2;NA;NA;NA
8625;19600;64;2;2;4;10
8626;0;69;2;3;3;10
8627;NA;59;1;NA;NA;NA
8628;0;2;2;NA;NA;NA
8629;1860;18;2;1;2;7
8630;28600;34;2;2;1;10
8631;0;6;2;NA;NA;NA
8632;0;7;1;NA;NA;NA
8633;NA;47;2;NA;NA;NA
8634;0;31;2;NA;NA;NA
8635;0;54;2;3;1;8
8636;0;71;2;NA;NA;NA
8637;NA;NA;1;NA;NA;NA
8638;0;1;1;NA;NA;NA
8639;0;7;2;NA;NA;NA
8640;0;31;2;NA;NA;NA
8641;0;15;2;NA;NA;NA
8642;0;40;1;1;1;10
8643;9240;27;2;2;2;7
8644;0;11;1;NA;NA;NA
8645;0;17;1;NA;NA;NA
8646;0;70;1;3;1;8
8647;NA;21;1;NA;NA;NA
8648;NA;44;1;NA;NA;NA
8649;0;76;1;3;4;5
8650;0;10;2;NA;NA;NA
8651;0;0;1;NA;NA;NA
8652;14976;26;1;1;2;5
8653;0;49;2;1;1;10
8654;NA;50;2;2;1;8
8655;24800;62;1;2;3;6
8656;60004;55;2;3;4;9
8657;NA;38;1;NA;NA;NA
8658;NA;53;1;NA;NA;NA
8659;62000;63;1;3;4;5
8660;0;0;2;NA;NA;NA
8661;0;17;1;NA;NA;NA
8662;204000;66;1;3;1;10
8663;42900;57;1;2;1;6
8664;0;15;2;NA;NA;NA
8665;0;16;2;NA;NA;NA
8666;0;14;1;NA;NA;NA
8667;23544;49;2;3;1;5
8668;0;18;2;NA;NA;NA
8669;35280;61;2;3;1;6
8670;0;8;2;NA;NA;NA
8671;0;43;2;NA;NA;NA
8672;0;73;1;3;1;9
8673;0;46;2;NA;1;7
8674;5400;52;2;2;1;10
8675;13400;37;2;2;1;8
8676;0;73;2;3;1;9
8677;0;5;1;NA;NA;NA
8678;NA;44;1;NA;NA;NA
8679;5400;36;1;3;1;8
8680;0;7;1;NA;NA;NA
8681;0;72;2;1;1;8
8682;0;37;2;NA;NA;NA
8683;48600;64;2;3;1;7
8684;0;53;1;NA;NA;NA
8685;NA;61;1;2;3;8
8686;0;76;1;2;1;9
8687;NA;12;2;NA;NA;NA
8688;0;12;2;NA;NA;NA
8689;21600;46;1;2;1;7
8690;NA;41;1;NA;NA;NA
8691;0;9;2;NA;NA;NA
8692;49700;40;1;2;5;8
8693;0;19;1;NA;NA;NA
8694;0;11;1;NA;NA;NA
8695;71500;64;1;2;1;8
8696;33911;53;1;3;1;7
8697;NA;20;1;1;2;7
8698;0;45;1;1;1;7
8699;2860;18;1;1;2;7
8700;0;76;1;3;1;5
8701;12;71;1;2;3;8
8702;0;8;2;NA;NA;NA
8703;NA;21;2;NA;NA;NA
8704;2472;67;2;2;1;5
8705;22620;55;2;2;4;5
8706;15600;58;2;2;1;3
8707;62400;49;1;2;1;9
8708;0;42;1;NA;1;5
8709;0;4;1;NA;NA;NA
8710;3600;19;1;NA;2;7
8711;63740;35;2;3;1;9
8712;0;16;1;NA;NA;NA
8713;70800;53;2;2;1;8
8714;NA;49;1;NA;NA;NA
8715;30000;68;2;2;1;8
8716;NA;56;1;NA;NA;NA
8717;NA;33;2;NA;NA;NA
8718;40400;29;1;2;2;8
8719;NA;19;2;NA;NA;NA
8720;0;12;2;NA;NA;NA
8721;0;14;1;NA;NA;NA
8722;0;8;2;NA;NA;NA
8723;158500;48;1;3;1;8
8724;41400;36;2;2;2;9
8725;0;10;1;NA;NA;NA
8726;0;4;1;NA;NA;NA
8727;NA;55;2;NA;NA;NA
8728;0;82;1;2;1;4
8729;0;14;1;NA;NA;NA
8730;NA;56;2;NA;NA;NA
8731;0;9;1;NA;NA;NA
8732;9200;54;2;1;1;4
8733;91500;42;1;3;5;6
8734;0;5;1;NA;NA;NA
8735;NA;34;1;NA;NA;NA
8736;0;11;1;NA;NA;NA
8737;0;30;2;3;1;9
8738;11988;50;2;2;1;8
8739;0;1;1;NA;NA;NA
8740;42000;26;1;2;2;8
8741;0;10;1;NA;NA;NA
8742;9450;34;1;3;1;5
8743;NA;44;2;2;4;3
8744;0;9;2;NA;NA;NA
8745;0;0;1;NA;NA;NA
8746;26000;24;2;2;2;8
8747;0;2;2;NA;NA;NA
8748;1200;27;1;3;2;5
8749;NA;18;2;1;1;9
8750;0;26;1;1;2;8
8751;0;1;1;NA;NA;NA
8752;0;0;1;NA;NA;NA
8753;0;18;1;NA;NA;NA
8754;0;9;2;NA;NA;NA
8755;0;10;2;NA;NA;NA
8756;NA;51;2;3;1;9
8757;0;4;2;NA;NA;NA
8758;0;76;2;2;1;9
8759;0;6;2;NA;NA;NA
8760;41760;52;1;2;1;9
8761;0;10;1;NA;NA;NA
8762;NA;41;2;NA;NA;NA
8763;120000;41;1;2;4;10
8764;0;2;2;NA;NA;NA
8765;0;78;1;3;1;8
8766;NA;13;1;NA;NA;NA
8767;0;12;2;NA;NA;NA
8768;0;43;1;NA;NA;NA
8769;57600;53;1;1;5;7
8770;0;10;1;NA;NA;NA
8771;0;3;2;NA;NA;NA
8772;0;14;1;NA;NA;NA
8773;0;29;2;1;2;4
8774;0;86;2;1;3;7
8775;0;60;1;2;2;6
8776;44105;42;1;2;1;8
8777;30900;34;1;2;2;3
8778;NA;64;2;NA;1;10
8779;NA;50;1;NA;NA;NA
8780;0;11;1;NA;NA;NA
8781;0;3;2;NA;NA;NA
8782;0;67;2;3;1;7
8783;42600;37;1;2;1;8
8784;0;70;2;NA;NA;NA
8785;56100;34;1;2;1;9
8786;NA;39;1;NA;NA;NA
8787;0;16;2;NA;NA;NA
8788;0;21;2;2;2;9
8789;0;9;1;NA;NA;NA
8790;4800;34;1;1;1;9
8791;0;5;1;NA;NA;NA
8792;0;73;1;1;4;8
8793;NA;26;1;NA;NA;NA
8794;0;15;1;NA;NA;NA
8795;NA;45;2;1;1;7
8796;0;16;2;NA;NA;NA
8797;0;11;2;NA;NA;NA
8798;6600;41;2;2;4;7
8799;27600;59;2;2;4;6
8800;7200;36;2;2;4;10
8801;18600;41;2;2;1;8
8802;0;9;2;NA;NA;NA
8803;0;12;1;NA;NA;NA
8804;18000;49;1;1;1;4
8805;NA;9;1;NA;NA;NA
8806;0;27;1;NA;1;7
8807;0;37;1;3;5;1
8808;0;2;1;NA;NA;NA
8809;46800;30;2;3;1;9
8810;0;16;2;NA;NA;NA
8811;55620;44;1;3;1;8
8812;0;80;1;2;1;9
8813;0;10;1;NA;NA;NA
8814;0;23;2;2;1;5
8815;NA;13;2;NA;NA;NA
8816;NA;20;1;1;2;10
8817;0;72;1;2;1;7
8818;0;12;1;NA;NA;NA
8819;NA;50;2;2;4;5
8820;0;78;2;2;1;5
8821;39580;44;2;3;5;9
8822;0;16;2;NA;NA;NA
8823;0;75;2;1;1;9
8824;0;52;2;1;4;8
8825;66000;58;1;3;1;10
8826;NA;22;1;NA;NA;NA
8827;28800;65;1;3;1;8
8828;54000;71;1;2;1;8
8829;0;78;2;2;3;8
8830;NA;35;1;3;4;5
8831;0;16;2;NA;NA;NA
8832;0;34;2;NA;NA;NA
8833;0;50;2;1;1;7
8834;0;17;2;NA;2;NA
8835;NA;52;2;2;1;8
8836;39854;38;2;2;1;7
8837;7535;73;1;3;4;8
8838;0;2;2;NA;NA;NA
8839;NA;35;1;2;1;8
8840;0;5;1;NA;NA;NA
8841;0;7;1;NA;NA;NA
8842;0;67;1;1;1;7
8843;77900;64;2;3;1;8
8844;0;7;2;NA;NA;NA
8845;0;72;1;3;1;8
8846;42400;49;2;2;1;5
8847;0;67;1;3;1;9
8848;0;14;2;NA;NA;NA
8849;42000;58;1;2;1;7
8850;0;2;2;NA;NA;NA
8851;40136;60;1;2;1;8
8852;3140;27;2;NA;1;8
8853;0;11;2;NA;NA;NA
8854;35650;55;1;3;1;7
8855;NA;51;2;NA;NA;NA
8856;NA;54;1;NA;NA;NA
8857;0;9;1;NA;NA;NA
8858;1350;20;2;2;2;8
8859;102000;47;1;2;1;7
8860;0;20;2;NA;NA;NA
8861;74400;49;1;3;1;8
8862;0;13;1;NA;NA;NA
8863;0;17;1;NA;NA;NA
8864;NA;50;2;NA;NA;NA
8865;0;4;1;NA;NA;NA
8866;41600;61;1;3;1;8
8867;0;74;1;3;4;5
8868;0;34;2;3;2;5
8869;0;76;2;NA;NA;NA
8870;0;12;2;NA;NA;NA
8871;0;8;1;NA;NA;NA
8872;25600;68;2;3;1;8
8873;0;17;1;1;2;NA
8874;NA;22;1;NA;NA;NA
8875;NA;51;1;NA;NA;NA
8876;76800;62;1;2;1;7
8877;NA;35;1;NA;NA;NA
8878;2250;32;2;3;1;9
8879;0;3;1;NA;NA;NA
8880;0;68;2;2;1;10
8881;22400;52;2;2;1;9
8882;0;50;2;1;1;2
8883;0;11;1;NA;NA;NA
8884;0;82;1;3;1;7
8885;0;82;2;3;3;6
8886;0;15;1;NA;NA;NA
8887;0;3;2;NA;NA;NA
8888;26040;53;2;2;1;8
8889;0;21;1;1;2;10
8890;2100;41;2;2;1;9
8891;NA;58;2;2;4;9
8892;0;36;2;1;1;2
8893;120000;50;1;3;1;9
8894;22800;42;2;2;1;7
8895;33950;23;1;NA;2;8
8896;0;72;2;2;4;8
8897;39000;60;2;NA;1;9
8898;75000;51;1;3;1;9
8899;0;38;2;NA;NA;NA
8900;NA;2;2;NA;NA;NA
8901;36000;43;2;2;2;8
8902;27900;48;2;2;1;10
8903;NA;19;1;NA;2;8
8904;0;13;2;NA;NA;NA
8905;32600;34;2;NA;1;9
8906;30800;33;2;2;4;10
8907;0;17;2;NA;2;NA
8908;4050;30;2;1;1;9
8909;6000;38;1;1;2;5
8910;42000;50;2;3;1;8
8911;43000;46;2;3;1;8
8912;NA;53;2;3;1;9
8913;0;11;1;NA;NA;NA
8914;NA;20;1;NA;NA;NA
8915;0;14;2;NA;NA;NA
8916;0;19;1;2;2;8
8917;2580;19;1;NA;2;9
8918;11250;34;2;2;1;7
8919;NA;65;1;2;1;8
8920;36750;29;2;2;2;8
8921;0;80;1;3;1;4
8922;0;73;1;3;1;9
8923;0;16;1;NA;NA;NA
8924;NA;23;1;1;2;5
8925;22400;63;1;2;1;8
8926;0;70;1;2;4;9
8927;0;2;2;NA;NA;NA
8928;0;97;1;NA;NA;NA
8929;144000;53;1;2;4;9
8930;22625;47;1;3;2;6
8931;0;13;1;NA;NA;NA
8932;0;8;2;NA;NA;NA
8933;0;10;2;NA;NA;NA
8934;37000;62;1;1;1;6
8935;0;7;1;NA;NA;NA
8936;0;14;1;NA;NA;NA
8937;0;45;1;NA;1;4
8938;NA;57;1;NA;NA;NA
8939;13440;56;1;2;1;6
8940;NA;53;1;3;1;7
8941;56100;52;1;2;1;7
8942;0;12;1;NA;NA;NA
8943;0;18;2;NA;2;6
8944;0;12;1;NA;NA;NA
8945;0;8;1;NA;NA;NA
8946;0;15;2;NA;NA;NA
8947;0;81;1;1;1;8
8948;0;62;2;2;2;4
8949;11435;40;2;3;1;9
8950;0;67;1;NA;NA;NA
8951;0;13;2;NA;NA;NA
8952;NA;52;1;3;5;8
8953;NA;19;2;NA;NA;NA
8954;0;4;1;NA;NA;NA
8955;22200;52;2;2;1;9
8956;11000;30;1;1;5;7
8957;0;56;1;1;1;5
8958;0;16;2;NA;NA;NA
8959;0;16;1;NA;NA;NA
8960;78000;54;1;2;NA;5
8961;78800;55;1;2;2;7
8962;0;13;2;NA;NA;NA
8963;63300;48;1;1;1;8
8964;NA;30;2;NA;NA;NA
8965;0;16;2;NA;NA;NA
8966;2100;31;2;1;2;7
8967;NA;20;1;NA;NA;NA
8968;0;44;1;1;1;6
8969;0;12;2;NA;NA;NA
8970;0;75;2;3;4;7
8971;NA;33;2;NA;NA;NA
8972;5820;51;2;2;2;8
8973;NA;12;2;NA;NA;NA
8974;24000;70;1;3;1;9
8975;0;4;1;NA;NA;NA
8976;21600;38;1;1;5;8
8977;0;72;2;2;3;5
8978;NA;39;1;2;1;8
8979;22200;56;2;2;4;8
8980;43500;41;1;2;2;8
8981;32420;47;2;2;1;10
8982;0;37;2;1;1;6
8983;0;68;1;2;4;7
8984;0;96;1;2;1;10
8985;NA;60;1;2;1;3
8986;0;71;2;1;3;10
8987;0;72;2;3;1;9
8988;55080;53;2;3;1;8
8989;69600;66;2;3;1;10
8990;0;19;2;2;2;10
8991;0;56;1;2;2;5
8992;10230;52;2;2;1;9
8993;0;25;2;NA;NA;NA
8994;NA;14;2;NA;NA;NA
8995;0;8;1;NA;NA;NA
8996;0;32;2;1;1;10
8997;0;11;1;NA;NA;NA
8998;36700;64;2;3;1;8
8999;0;17;1;NA;NA;NA
9000;0;24;1;2;2;8
9001;14520;22;1;1;2;8
9002;48000;58;2;2;1;8
9003;0;5;1;NA;NA;NA
9004;0;64;2;2;1;9
9005;66000;54;1;2;1;9
9006;0;15;1;NA;NA;NA
9007;42676;25;2;2;2;9
9008;40400;44;2;3;4;10
9009;0;25;2;1;1;5
9010;0;19;2;NA;2;8
9011;0;12;1;NA;NA;NA
9012;NA;6;1;NA;NA;NA
9013;0;21;1;1;2;2
9014;0;62;2;2;3;7
9015;0;27;2;NA;NA;NA
9016;0;21;2;2;2;8
9017;0;5;1;NA;NA;NA
9018;12615;50;2;2;2;7
9019;NA;41;2;2;5;4
9020;0;72;2;2;3;9
9021;67200;61;1;2;1;8
9022;0;9;2;NA;NA;NA
9023;0;15;1;NA;NA;NA
9024;0;8;2;NA;NA;NA
9025;36659;51;1;1;1;8
9026;NA;38;1;NA;NA;NA
9027;0;0;1;NA;NA;NA
9028;0;44;2;NA;NA;NA
9029;28350;37;2;2;4;7
9030;0;67;1;1;1;8
9031;NA;48;1;NA;NA;NA
9032;74820;49;1;3;1;9
9033;0;10;1;NA;NA;NA
9034;NA;25;2;1;1;7
9035;21180;23;1;1;2;9
9036;0;19;1;NA;NA;NA
9037;0;76;2;1;3;8
9038;NA;18;2;1;2;9
9039;24000;48;1;2;1;8
9040;0;4;1;NA;NA;NA
9041;0;82;2;1;3;5
9042;NA;52;1;NA;NA;NA
9043;2780;19;1;1;2;5
9044;0;19;2;NA;2;8
9045;0;72;2;2;4;5
9046;NA;52;1;NA;NA;NA
9047;0;47;2;NA;NA;NA
9048;0;84;2;3;3;7
9049;0;25;1;NA;2;4
9050;16250;48;2;2;1;10
9051;0;8;1;NA;NA;NA
9052;11200;36;2;3;1;9
9053;27300;23;2;2;2;9
9054;0;15;1;NA;NA;NA
9055;24544;62;2;2;4;8
9056;NA;21;1;NA;2;8
9057;2178;23;2;2;2;9
9058;64800;60;1;3;1;8
9059;0;84;1;NA;NA;NA
9060;18000;27;1;NA;2;8
9061;0;39;2;2;1;7
9062;0;9;2;NA;NA;NA
9063;0;72;2;1;4;9
9064;0;4;1;NA;NA;NA
9065;0;7;1;NA;NA;NA
9066;NA;22;1;NA;NA;NA
9067;24000;40;1;3;1;10
9068;0;71;1;NA;NA;NA
9069;NA;17;2;NA;NA;NA
9070;0;9;2;NA;NA;NA
9071;0;75;2;2;1;8
9072;0;68;1;NA;NA;NA
9073;0;77;1;3;5;8
9074;48540;38;1;2;1;7
9075;0;15;2;NA;NA;NA
9076;0;19;2;NA;NA;NA
9077;14800;50;2;2;2;7
9078;NA;65;1;NA;NA;NA
9079;0;73;2;2;3;7
9080;0;6;1;NA;NA;NA
9081;0;40;2;1;1;8
9082;0;58;2;2;2;5
9083;0;12;2;NA;NA;NA
9084;0;3;1;NA;NA;NA
9085;24000;29;2;3;1;9
9086;0;6;1;NA;NA;NA
9087;0;2;1;NA;NA;NA
9088;0;51;2;2;1;7
9089;0;13;2;NA;NA;NA
9090;0;30;2;1;1;8
9091;12100;34;1;2;2;7
9092;NA;20;2;NA;NA;NA
9093;38000;43;1;2;4;8
9094;0;19;1;NA;2;10
9095;14400;26;1;1;2;8
9096;0;55;1;2;4;4
9097;0;80;2;2;1;7
9098;0;60;1;1;1;10
9099;38600;62;2;2;1;7
9100;21600;58;2;2;1;9
9101;0;84;1;2;1;7
9102;23220;25;1;2;2;8
9103;0;49;2;2;1;10
9104;1300;38;1;1;1;8
9105;0;68;1;3;1;8
9106;NA;25;2;3;1;9
9107;NA;NA;2;NA;NA;NA
9108;15076;57;2;2;1;7
9109;0;10;2;NA;NA;NA
9110;0;21;1;NA;NA;NA
9111;42000;56;2;2;2;9
9112;2240;44;2;3;1;7
9113;0;9;2;NA;NA;NA
9114;0;14;1;NA;NA;NA
9115;0;14;2;NA;NA;NA
9116;NA;43;2;NA;NA;NA
9117;0;34;2;1;1;10
9118;0;34;2;NA;2;10
9119;41250;60;1;2;1;9
9120;0;11;1;NA;NA;NA
9121;63400;37;2;3;1;8
9122;0;70;1;2;1;6
9123;35700;39;1;2;1;8
9124;0;6;1;NA;NA;NA
9125;2040;68;1;2;1;9
9126;59220;49;1;3;1;8
9127;480000;61;1;2;4;7
9128;0;15;1;NA;NA;NA
9129;19900;34;2;2;1;9
9130;0;11;1;NA;NA;NA
9131;117600;49;1;3;2;8
9132;13500;59;2;2;1;8
9133;0;6;1;NA;NA;NA
9134;13640;25;2;3;2;7
9135;0;48;2;3;1;9
9136;NA;29;1;NA;NA;NA
9137;0;5;1;NA;NA;NA
9138;0;62;2;3;2;8
9139;24850;24;2;2;2;8
9140;0;4;1;NA;NA;NA
9141;0;5;1;NA;NA;NA
9142;31565;44;2;3;2;8
9143;40300;65;1;2;1;9
9144;0;22;1;NA;NA;NA
9145;0;30;1;NA;NA;NA
9146;0;48;2;1;1;6
9147;0;11;2;NA;NA;NA
9148;0;75;2;2;1;7
9149;0;61;1;NA;1;7
9150;0;3;1;NA;NA;NA
9151;0;13;1;NA;NA;NA
9152;0;39;2;3;1;8
9153;NA;15;2;NA;NA;NA
9154;32100;53;2;2;1;7
9155;0;72;2;NA;1;9
9156;0;88;2;1;3;8
9157;NA;25;1;2;2;10
9158;0;18;2;NA;NA;NA
9159;0;2;1;NA;NA;NA
9160;0;63;2;2;1;8
9161;0;13;1;NA;NA;NA
9162;0;11;2;NA;NA;NA
9163;38700;51;2;2;1;5
9164;96000;63;2;2;1;8
9165;NA;NA;2;NA;NA;NA
9166;120000;56;2;3;1;8
9167;NA;48;2;3;4;7
9168;0;12;1;NA;NA;NA
9169;0;10;1;NA;NA;NA
9170;NA;31;1;NA;NA;NA
9171;0;45;1;NA;NA;NA
9172;0;9;1;NA;NA;NA
9173;0;15;2;NA;NA;NA
9174;0;54;2;1;1;10
9175;0;12;1;NA;NA;NA
9176;120000;58;1;3;1;8
9177;0;14;1;NA;NA;NA
9178;NA;37;1;NA;NA;NA
9179;0;89;2;2;1;5
9180;0;13;2;NA;NA;NA
9181;15498;40;1;2;2;5
9182;0;17;2;NA;NA;NA
9183;0;22;1;NA;2;8
9184;0;74;2;3;1;4
9185;6892;48;2;2;1;9
9186;0;30;2;1;2;5
9187;0;9;1;NA;NA;NA
9188;0;73;1;3;2;6
9189;NA;21;1;NA;NA;NA
9190;0;3;1;NA;NA;NA
9191;0;68;2;3;3;10
9192;NA;59;1;3;1;9
9193;50100;49;2;2;3;6
9194;0;33;2;NA;1;9
9195;0;8;2;NA;NA;NA
9196;NA;18;1;NA;NA;NA
9197;0;15;2;NA;NA;NA
9198;0;67;2;NA;NA;NA
9199;NA;38;2;NA;NA;NA
9200;0;21;2;2;2;7
9201;0;19;1;2;2;8
9202;336000;88;2;2;1;7
9203;40900;39;1;2;1;7
9204;0;13;2;NA;NA;NA
9205;0;11;1;NA;NA;NA
9206;63000;60;1;3;4;8
9207;0;18;2;NA;2;8
9208;0;30;1;1;1;9
9209;0;12;1;NA;NA;NA
9210;NA;5;1;NA;NA;NA
9211;0;75;2;2;3;9
9212;NA;53;2;2;4;5
9213;0;46;2;2;1;9
9214;0;20;1;2;2;6
9215;0;60;2;2;4;5
9216;6600;59;2;2;1;8
9217;0;72;1;3;4;9
9218;0;14;2;NA;NA;NA
9219;NA;21;1;NA;NA;NA
9220;0;18;1;NA;NA;NA
9221;0;60;2;2;1;7
9222;0;29;1;2;2;9
9223;44500;40;1;1;1;8
9224;0;7;1;NA;NA;NA
9225;55200;60;1;3;1;7
9226;0;5;2;NA;NA;NA
9227;NA;22;2;NA;NA;NA
9228;0;15;2;NA;NA;NA
9229;0;80;1;3;1;7
9230;0;72;2;3;1;9
9231;NA;35;2;2;2;8
9232;29700;46;2;3;1;8
9233;0;16;1;NA;NA;NA
9234;0;14;1;NA;NA;NA
9235;0;20;1;2;2;7
9236;NA;59;2;NA;NA;NA
9237;0;31;1;1;1;9
9238;0;85;1;2;1;5
9239;0;14;1;NA;NA;NA
9240;0;11;2;NA;NA;NA
9241;0;82;1;2;1;2
9242;33200;33;1;2;1;9
9243;42609;50;2;2;3;8
9244;0;1;2;NA;NA;NA
9245;0;44;1;1;4;5
9246;0;10;1;NA;NA;NA
9247;0;4;2;NA;NA;NA
9248;87300;52;1;2;1;8
9249;60000;47;1;2;4;10
9250;NA;68;1;3;1;7
9251;0;94;1;NA;NA;NA
9252;0;56;2;2;1;7
9253;0;27;2;1;1;9
9254;480;18;2;NA;NA;9
9255;2400;20;1;2;2;9
9256;0;1;1;NA;NA;NA
9257;0;12;1;NA;NA;NA
9258;12000;61;2;2;1;4
9259;0;78;1;NA;NA;NA
9260;28200;49;2;3;4;8
9261;27300;57;2;2;1;9
9262;34650;61;2;3;1;7
9263;0;82;1;2;4;4
9264;1100;36;1;1;2;7
9265;24780;34;2;3;1;9
9266;0;3;2;NA;NA;NA
9267;70400;39;1;2;2;7
9268;0;16;2;NA;NA;NA
9269;0;33;2;3;1;5
9270;0;9;1;NA;NA;NA
9271;0;71;1;3;4;5
9272;NA;37;2;NA;NA;NA
9273;0;60;1;2;3;6
9274;0;13;2;NA;NA;NA
9275;0;15;1;NA;NA;NA
9276;NA;36;2;1;4;5
9277;0;6;2;NA;NA;NA
9278;0;53;1;1;1;10
9279;27032;45;2;2;1;8
9280;0;19;1;NA;NA;NA
9281;185300;46;1;2;1;9
9282;NA;54;1;NA;NA;NA
9283;NA;22;2;1;2;8
9284;40800;34;2;3;5;7
9285;4730;68;1;1;1;9
9286;5400;51;1;2;1;7
9287;0;3;1;NA;NA;NA
9288;0;24;1;NA;NA;NA
9289;0;19;1;NA;NA;NA
9290;0;11;2;NA;NA;NA
9291;NA;39;1;2;1;8
9292;0;15;1;NA;NA;NA
9293;0;9;1;NA;NA;NA
9294;0;59;1;2;1;8
9295;NA;36;2;NA;NA;NA
9296;0;12;2;NA;NA;NA
9297;NA;80;2;2;3;NA
9298;25200;60;1;3;1;8
9299;0;72;2;2;3;9
9300;0;17;2;NA;2;NA
9301;0;21;2;1;2;9
9302;25200;42;2;2;4;7
9303;9000;20;1;1;2;8
9304;NA;53;1;NA;NA;NA
9305;0;68;1;3;4;8
9306;NA;53;2;2;4;9
9307;0;70;1;2;1;6
9308;43400;30;1;1;4;7
9309;18480;34;1;2;2;7
9310;14400;26;1;1;2;6
9311;0;54;1;2;1;3
9312;0;59;1;2;1;5
9313;0;18;2;1;2;10
9314;0;17;2;NA;NA;NA
9315;0;51;2;2;4;5
9316;0;12;1;NA;NA;NA
9317;0;14;1;NA;NA;NA
9318;40800;51;2;3;5;10
9319;31244;29;1;3;1;8
9320;0;10;2;NA;NA;NA
9321;0;10;1;NA;NA;NA
9322;0;84;2;2;3;10
9323;12864;54;2;2;1;9
9324;41400;58;1;2;4;9
9325;19200;33;1;1;2;7
9326;NA;54;1;3;4;9
9327;9900;62;2;3;1;7
9328;NA;47;1;3;1;8
9329;0;16;1;NA;NA;NA
9330;0;19;2;NA;NA;NA
9331;NA;35;1;NA;NA;NA
9332;0;NA;2;NA;NA;NA
9333;24000;44;2;3;1;7
9334;0;11;1;NA;NA;NA
9335;47300;39;2;3;1;6
9336;NA;18;1;NA;NA;NA
9337;0;19;1;NA;NA;NA
9338;29100;41;2;3;1;8
9339;NA;24;2;2;2;7
9340;13200;62;2;3;1;8
9341;67600;53;1;2;1;9
9342;47000;32;1;3;1;8
9343;0;8;1;NA;NA;NA
9344;NA;51;1;NA;NA;NA
9345;41800;50;2;3;1;8
9346;0;16;2;NA;NA;NA
9347;0;7;2;NA;NA;NA
9348;0;9;1;NA;NA;NA
9349;63200;40;1;3;2;3
9350;23200;54;2;2;1;7
9351;NA;55;1;3;1;8
9352;14400;64;2;2;1;9
9353;14800;52;2;2;1;8
9354;NA;50;1;2;1;8
9355;NA;53;1;3;1;10
9356;484000;48;1;2;1;8
9357;0;12;2;NA;NA;NA
9358;NA;58;2;2;2;9
9359;0;7;2;NA;NA;NA
9360;9000;34;1;NA;1;9
9361;0;55;1;NA;NA;NA
9362;0;6;1;NA;NA;NA
9363;0;9;2;NA;NA;NA
9364;0;17;1;NA;NA;NA
9365;4800;25;1;2;2;9
9366;0;9;2;NA;NA;NA
9367;0;5;2;NA;NA;NA
9368;34350;32;2;2;1;8
9369;18200;60;2;2;1;7
9370;0;17;1;NA;NA;NA
9371;0;86;2;NA;3;8
9372;0;2;1;NA;NA;NA
9373;0;4;1;NA;NA;NA
9374;NA;23;1;NA;NA;NA
9375;0;51;1;1;1;7
9376;0;10;1;NA;NA;NA
9377;0;77;2;2;1;10
9378;0;5;1;NA;NA;NA
9379;0;79;1;2;1;7
9380;29100;51;1;1;1;7
9381;0;17;2;NA;2;NA
9382;0;43;2;1;4;5
9383;NA;47;2;2;1;10
9384;21000;62;1;3;1;7
9385;69100;31;2;3;2;5
9386;0;1;1;NA;NA;NA
9387;1800;33;2;3;1;8
9388;0;59;2;2;1;9
9389;0;86;2;1;4;8
9390;NA;66;1;3;1;10
9391;13200;43;2;1;1;10
9392;3240;20;2;2;2;8
9393;9600;36;2;2;4;10
9394;NA;38;1;2;1;10
9395;0;41;2;3;2;5
9396;0;17;2;NA;2;NA
9397;0;15;1;NA;NA;NA
9398;0;86;2;1;3;8
9399;0;7;1;NA;NA;NA
9400;0;9;1;NA;NA;NA
9401;12000;42;2;3;2;6
9402;0;69;1;2;3;8
9403;0;66;1;3;1;8
9404;0;78;2;2;1;5
9405;22800;56;1;2;1;7
9406;NA;43;2;2;1;8
9407;NA;35;1;NA;NA;NA
9408;0;41;2;1;1;6
9409;72000;41;1;2;1;7
9410;0;10;2;NA;NA;NA
9411;11060;40;2;2;1;8
9412;0;10;1;NA;NA;NA
9413;0;4;1;NA;NA;NA
9414;0;70;1;3;1;10
9415;0;1;2;NA;NA;NA
9416;0;5;1;NA;NA;NA
9417;0;38;2;3;1;7
9418;0;50;2;1;1;5
9419;0;13;1;NA;NA;NA
9420;0;4;2;NA;NA;NA
9421;31800;56;2;3;1;8
9422;NA;29;1;2;1;8
9423;0;51;1;2;2;9
9424;NA;7;1;NA;NA;NA
9425;0;4;1;NA;NA;NA
9426;27688;50;1;2;1;9
9427;240000;63;1;3;2;8
9428;0;91;2;NA;NA;NA
9429;NA;58;1;2;1;6
9430;62500;53;2;3;1;6
9431;0;6;1;NA;NA;NA
9432;0;76;2;2;4;7
9433;9450;41;1;1;1;0
